Topic,Domain,Package,Download
Model,industrial stats,qicharts2,suggests
Model,industrial stats,qcc,suggests
Model,industrial stats,SixSigma,suggests
,industrial stats,DoE.base,suggests
datascience,industrial stats,rsm,suggests
Visualise (niche),networks,ggraph,suggests
Visualise (niche),networks,tidygraph,suggests
,networks,igraph,suggests
,networks,ggforce,suggests
Communicate,publishing,bookdown,suggests
Communicate,publishing,knitr,suggests
,industrial stats,agricolae,suggests
,statistics,car,suggests
,statistics,RcmdrMisc,suggests
Visualise (polish),publishing,kableextra,suggests
,publishing,gt,suggests
Visualise (customise),colors,viridis,imports
Import,data loading,readr,imports
Transform,data wrangling,dplyr,imports
Transform,data wrangling,forcats,imports
Tidy,data wrangling,janitor,imports
Transform,data wrangling,magrittr,imports
datascience,data wrangling,tibble,imports
datascience,data wrangling,tidyr,imports
Program,data wrangling,purrr,imports
Visualise (customise),plotting,patchwork,imports
Visualise,plotting,ggplot2,imports
Visualise (customise),plotting,scales,imports
Tidy,statistics,broom,imports
Model,statistics,stats,imports
Transform,data wrangling,glue,imports
Transform,data wrangling,stringr,imports
,plotting,ggtext,imports
Visualise (customise),colors,rcartocolor,
Training,data,datasets,
Import,data loading,readxl,
Tidy,data wrangling,hms,
Tidy,data wrangling,lubridate,
datascience,data wrangling,tidyverse,
Model,statistics,tidymodels,
,statistics,lsr,
Program,sysadmin,fs,
Visualise (niche),alluvial plots,ggalluvial,
Visualise (niche),alluvial plots,ggforce,
Visualise (polish),animation,gganimate,
Visualise (polish),animation,plotly,
Visualise (polish),animation,rayshader (3D),
Visualise (niche),cartography,cartogram,
Visualise (niche),cartography,leaflet,
Visualise (niche),cartography,mapedit,
Visualise (niche),cartography,mapview,
Visualise (niche),cartography,raster,
Visualise (niche),cartography,sf,
Visualise (specialities),chord diagrams,circlize,
Visualise (customise),colors,RColorBrewer,
Tidy,data,data.table,
Import,data,DBI,
Import,data,openxlsx,
Import,data,RPostgres,
Import,data,RSQLite,
datascience,data,visdat,
Import,data,webscrapping,
Visualise (specialities),diverging,barplot,
Visualise (specialities),diverging,lollipop,
Program,extend,Rcpp,
Program,extend,reticulate,
Program,functional programming,foreach,
Visualise,ggplot2,donnut chart,
Visualise,ggplot2,geom_area,
Visualise,ggplot2,geom_bar,
Visualise,ggplot2,geom_bin2d,
Visualise,ggplot2,geom_boxplot,
Visualise,ggplot2,geom_col,
Visualise,ggplot2,geom_density,
Visualise,ggplot2,geom_density_2d,
Visualise,ggplot2,geom_dotplot,
Visualise,ggplot2,geom_hist,
Visualise,ggplot2,geom_jitter,
Visualise,ggplot2,geom_line,
Visualise,ggplot2,geom_point,
Visualise,ggplot2,geom_violin,
Visualise,ggplot2,pie chart,
Visualise (niche),government,ggparliament,
Visualise (niche),government,ggpol,
Visualise (niche),government,waffle,
Visualise (polish),grammar of tables,DT,
Visualise (polish),grammar of tables,gt,
Visualise (specialities),heatmap / mosaic,ggmosaic,
